Lang,Text
eng,Children who spend more time outdoors have a lower risk of myopia.
eng,Most people think computers will never be able to think.
fra,Je rajoute une phrase d'exemple.
fra,J'espère que je ne serai plus malade la semaine prochaine.
eng,It is more time-efficient to do several tasks sequentially than attempt to do them simultaneously.
fra,Je fais un autre test.
fra,L'homme que tu as vu hier est mon oncle.
fra,C'est l'homme dont les enfants sont si gentils.
fra,C'est l'aide dont nous avons besoin.
fra,Il a toujours de meilleures notes que moi bien qu'il travaille moins.
fra,"Le film était ennuyeux ; le meilleur moment, c'était la fin."
fra,Je vais plus souvent à Bruxelles qu'à Paris.
fra,"Quand j'étais petite, je ne portais que des pantalons."
fra,Appelle-moi dès que tu l'auras rencontré !
fra,C'est l'homme que je vois tous les jours dans le train.
eng,I should stop procrastinating.
fra,"Comme quoi, c'est pas si facile..."
eng,How can video games inspire us to make better applications for e-learning?
fra,Je n'arrive pas à m'endormir.
fra,J'ai besoin de neuf heures de sommeil.
fra,Tu dors vraiment beaucoup !
fra,Qu'est-ce qui m'a pris de me lever à 5h du matin...
fra,Je suis allé me faire vacciner.
fra,"J'ai un peu de temps, mais toujours pas beaucoup..."
fra,C'est le bordel dans ma chambre.
fra,"Trier vos emballages, c'est participer activement à la préservation de l'environnement."
fra,À consommer de préférence avant le 01/09/2010.
fra,Nous n'ajoutons aucun conservateur dans nos recettes pour vous offrir un goût intact.
fra,"Cette crème adoucit, régénère et soulage les mains les plus sèches."
fra,Avez-vous une carte de fidélité ?
fra,C'est du pipeau tout ça.
fra,Pourquoi tant de haine ?
eng,"No, I'm not afraid of ghosts."
fra,"De toutes façons, c'est toujours de ma faute."
fra,C'est la misère.
fra,Je n'ai plus que du beurre dans mon frigo.
fra,Tu t'en sors ? Je peux t'aider si tu veux.
eng,"If I could rearrange the alphabet, I would put U and I together."
eng,I'm not good at multitasking.
eng,Any teacher that can be replaced by a machine should be.
eng,The Great Dane is a breed of domestic dog known for its giant size.
spa,"La vaca Lola, la vaca Lola, tiene cabeza y tiene cola, y hace muuuuu."
spa,Yo ya me sé las tablas de multiplicar.
eng,Everybody knows the moon is made of cheese.
eng,Pastafarians believe that an invisible and undetectable Flying Spaghetti Monster created the universe.
eng,I don't speak Catalan.
eng,Man is kind enough when he is not excited by religion.
eng,God's inhumanity to man makes countless thousands mourn.
eng,All gods are better than their conduct.
eng,How charmed I am when I overhear a German word which I understand!
spa,¡El pueblo unido jamás será vencido!
eng,"Maybe I shouldn't tell you this, but I am truly mesmerized by your beauty."
eng,No words can express how amazing you are.
eng,It's rare to meet nice people like you.
eng,There is something very charming about you.
eng,I couldn't take my eyes off of you from the minute I entered this room.
eng,It's the first time in my life I've felt so connected with someone.
eng,I would swim through the ocean just to see your smile again.
eng,You know I'd do anything for your beautiful eyes.
eng,You have very sexy legs.
eng,The sound of your voice is like a siren's song to me.
eng,Tatoeba: Because a language is more than the sum of its words.
eng,Would you like to become a trusted user?
eng,Find multilingual sentence equivalents at Tatoeba.org.
eng,Ukraine is a country in Central and Eastern Europe.
eng,Ukraine became independent again when the Soviet Union dissolved in 1991.
eng,Donetsk is a large city in eastern Ukraine on the Kalmius river.
eng,The Great Jerboa is a species of rodent.
eng,Biologists view the chupacabras as a contemporary legend.
eng,"Stanisław Lem was born in 1921 in Lviv, Poland (now Ukraine)."
eng,I don't speak Turkish.
eng,"The literal translation for the Spanish word ""chupacabra"" is ""goat sucker."""
eng,"Fear me, if you dare!"
spa,El estudio profundo de la naturaleza es la fuente más fértil de descubrimientos matemáticos.
eng,"History does not repeat itself, but it does rhyme."
eng,Get the facts first. You can distort them later.
eng,I don't speak Ukrainian.
eng,"It's national tell-a-lie day! And yes, I made that up."
eng,I don't think I want to see what a fly considers paradise.
eng,Don't trouble trouble until trouble troubles you.
eng,Don't try to walk before you can crawl.
eng,Few things are harder to put up with than the annoyance of a good example.
eng,It usually takes me more than three weeks to prepare a good impromptu speech.
eng,Tom called me a party pooper because I left the party just after midnight.
eng,"Gods don't kill people, people with gods kill people."
eng,"Swiper, no swiping!"
eng,"Go to Heaven for the climate, Hell for the company."
eng,Never attribute to malice that which is adequately explained by stupidity.
eng,Entities must not be multiplied beyond necessity.
eng,HTTP 2 just adds a new layer of complexity without solving any real-world problems.
eng,I’m keeping my diary on Google+ so that no one reads it.
eng,We hear the plop of a frog jumping into the canal.
eng,Plop into the water and dive.
eng,There is nothing like the dull thud of nylon on nylon.
eng,The thud of hooves resonates around the ring.
eng,Betty fell in love with Tom and killed him.
eng,They finally succeeded after many months of travail.
eng,We squelched across the muddy field.
eng,Evolution is a tinkerer and not an engineer.
eng,Beware of Greeks bearing gifts.
eng,I'm testing whether the language detection works again.
eng,We moved the project to a new server.
eng,Is it true that you just got out of prison?
eng,"Flevoland now has over 1,400 km² of land and over 400,000 inhabitants."
eng,The chickens have come home to roost.
eng,You should come over.
eng,My roommate is in Mexico. You should come over.
eng,"Tom's coming over tonight, so you know."
eng,My husband is at a conference. Would you like to get some coffee?
eng,We are humans and we are from Earth.
eng,What would you call your non-binary parent?
eng,What would you call the non-binary sibling of one of your parents?
eng,Alex is non-binary.
eng,Alex is genderqueer.
eng,"Alex's gender is neither male nor female, so they go by the pronoun ""they."""
eng,What are your pronouns?
eng,Volapük is surprisingly genderqueer-friendly.
eng,"How's your sister? ""My sibling is non-binary, and they don't appreciate being called my sister."""
eng,"How's your boyfriend? ""My partner is non-binary; please do not call them a boy."""
eng,Tom is worried that Mary's new medicine is working just a bit too well.
eng,You smell awful.
eng,You smell terrible.
eng,"If you think about, everyone is already a statistic."
eng,Follow your own path and let people talk.
eng,That's the right attitude.
eng,Tom has the right attitude.
eng,The main problem with antitheism is its negation of my divinity.
eng,"I'm a Pisces, which means I believe in astrology."
eng,Tom is a crypto-fascist.
eng,Tom is xenophobic.
eng,Tom hates foreigners.
eng,Tom is always on the lookout for suspicious people.
eng,Have you tried turning it off and then turning it back on?
eng,Try turning it off and then turning it back on.
eng,"Turn it off, then turn it back on."
eng,Don't turn it off yet.
eng,Make sure you save everything before you turn it off.
eng,Tom harasses marginalized people on the Internet.
eng,Tom is afraid of marginalized people.
eng,Tom bullies marginalized people.
eng,Tom wants to keep marginalized people out of public places.
eng,Tom thinks the world would be much more convenient without marginalized people.
